DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
1/3/2023,76102,46493, 52752-89477, 83438-34418-05049-52159-74896-83492, 9964-8534-9975-6493, 0642-3097-7803-9391-3691-6359, 750-265-946, 55-92-70-12, 9NS-1NS-2NS-11NS-7NS-3NS
28/02/2023,55827,39977, 20715-42892, 88546-49558-01604-22589-44324-77100, 5489-2390-8889-5750, 3004-7160-0142-9604-4288-9465, 590-700-105, 36-60-58-11, 2NT-7NT-10NT-8NT-14NT-12NT
27/02/2023,93758,96434, 10620-41971, 97839-24382-48220-49467-28419-70861, 7454-7809-8678-2897, 0499-1466-2069-6655-0134-2993, 915-894-598, 24-00-65-16, 9NU-3NU-6NU-11NU-5NU-10NU
26/02/2023,67360,84040, 06293-78613, 24044-91197-69571-29604-00428-26260, 4048-4141-7341-5700, 7841-6441-1365-9604-4719-8308, 797-374-706, 41-71-90-63, 15NV-9NV-6NV-2NV-1NV-14NV
25/02/2023,30415,46223, 32874-26964, 77894-62144-22240-74314-60521-44090, 0570-3424-1563-1970, 3127-3664-5294-2775-0415-2860, 967-705-404, 68-40-91-77, 12NX-7NX-1NX-15NX-4NX-2NX
24/02/2023,16979,9730, 04515-27241, 78758-04867-57566-51462-35054-16394, 7083-8093-5365-1899, 6917-9385-2795-5652-6575-5825, 711-030-488, 85-36-70-51, 9NY-15NY-8NY-1NY-11NY-4NY
23/02/2023,1964,74969, 79479-90535, 34518-53590-67179-35306-03818-38858, 4855-9854-4747-8734, 8282-4549-6537-4132-6678-8510, 438-805-490, 03-93-82-56, 3NZ-1NZ-5NZ-8NZ-11NZ-15NZ
22/02/2023,31357,31928, 42898-40056, 16601-78810-23130-09552-34978-72962, 3230-0744-3062-2117, 7711-5851-9109-5799-4779-0060, 956-699-903, 80-87-44-09, 8MA-11MA-9MA-1MA-12MA-5MA
21/02/2023,90781,175, 20889-90010, 74017-54086-56167-99808-87482-43934, 7062-0786-7592-5032, 6017-3910-1657-0147-3943-0060, 762-116-835, 08-74-82-10, 10MB-2MB-3MB-6MB-11MB-9MB
20/02/2023,32775,1606, 41854-66216, 47885-14847-59176-85638-87409-86316, 2432-6816-7273-9680, 7248-6558-9717-9849-7663-2831, 465-167-833, 96-41-42-68, 1MC-8MC-13MC-11MC-9MC-10MC-2MC-19MC
19/02/2023,37264,91013, 12898-74782, 55545-21772-22607-84687-82142-07279, 0761-3614-1563-8265, 1344-6462-7435-1453-9110-8165, 070-804-075, 54-04-48-50, 6MD-10MD-2MD-3MD-13MD-14MD
18/02/2023,44971,76196, 80204-83379, 30910-56929-01406-78478-45245-15333, 8607-9371-4039-2793, 9602-4194-2098-5358-0609-0472, 235-816-121, 16-78-46-36, 2ME-14ME-5ME-13ME-8ME-7ME
